TIME,GEO,Value,Popolazione
2004,Austria,878,8171966
2005,Austria,768,8227829
2006,Austria,730,8268641
2007,Austria,691,8295487
2008,Austria,679,8321496
2009,Austria,633,8343323
2010,Austria,552,8363404
2011,Austria,523,8391643
2012,Austria,531,8429991
2013,Austria,:,8479375
2004,Belgium,1162,10421137
2005,Belgium,1089,10478617
2006,Belgium,1069,10547958
2007,Belgium,1071,10625700
2008,Belgium,944,10709973
2009,Belgium,944,10796493
2010,Belgium,840,10895586
2011,Belgium,862,11047744
2012,Belgium,770,11128246
2013,Belgium,723,11182817
2004,Bulgaria,943,7716860
2005,Bulgaria,957,7658972
2006,Bulgaria,1043,7601022
2007,Bulgaria,:,7545338
2008,Bulgaria,:,7492561
2009,Bulgaria,901,7444443
2010,Bulgaria,:,7395599
2011,Bulgaria,:,7348328
2012,Bulgaria,:,7305888
2013,Bulgaria,:,7265115
2004,Croatia,:,4308293
2005,Croatia,:,4311674
2006,Croatia,:,4313009
2007,Croatia,619,4312749
2008,Croatia,664,4310882
2009,Croatia,548,4306322
2010,Croatia,426,4296352
2011,Croatia,418,4282921
2012,Croatia,393,4269062
2013,Croatia,368,4254475
2004,Cyprus,117,727980
2005,Cyprus,:,738540
2006,Cyprus,:,750965
2007,Cyprus,89,767125
2008,Cyprus,82,786632
2009,Cyprus,71,808035
2010,Cyprus,60,829446
2011,Cyprus,71,850881
2012,Cyprus,51,863945
2013,Cyprus,44,861939
2004,Czech Republic,1382,10197101
2005,Czech Republic,1286,10211216
2006,Czech Republic,1063,10238905
2007,Czech Republic,1221,10298828
2008,Czech Republic,1076,10384603
2009,Czech Republic,901,10443936
2010,Czech Republic,802,10474410
2011,Czech Republic,773,10496088
2012,Czech Republic,742,10510785
2013,Czech Republic,654,10514272
2004,Denmark,369,5404523
2005,Denmark,331,5419432
2006,Denmark,306,5437272
2007,Denmark,406,5461438
2008,Denmark,406,5493621
2009,Denmark,303,5523095
2010,Denmark,255,5547683
2011,Denmark,220,5570572
2012,Denmark,167,5591572
2013,Denmark,191,5609987
2004,Estonia,170,1362550
2005,Estonia,170,1354775
2006,Estonia,204,1346810
2007,Estonia,196,1340680
2008,Estonia,132,1337090
2009,Estonia,98,1334515
2010,Estonia,:,1331475
2011,Estonia,:,1327439
2012,Estonia,:,1322696
2013,Estonia,:,1317997
2004,Finland,375,5228172
2005,Finland,379,5246096
2006,Finland,336,5266268
2007,Finland,380,5288720
2008,Finland,344,5313399
