Classedieta,Territorio,Anno,Totale,Popolazione
10-14 anni,Bari,2004,6,314166
10-14 anni,Bari,2005,3,321312
10-14 anni,Bari,2006,2,326915
10-14 anni,Bari,2007,2,325983
10-14 anni,Bari,2008,1,325983
10-14 anni,Bari,2009,2,321771
10-14 anni,Bari,2011,1,320312
10-14 anni,Firenze,2008,1,366433
10-14 anni,Firenze,2010,2,367280
10-14 anni,Firenze,2012,2,372075
10-14 anni,Milano,2004,2,1271898
10-14 anni,Milano,2005,3,1285669
10-14 anni,Milano,2006,2,1308735
10-14 anni,Milano,2007,1,1306086
10-14 anni,Milano,2011,2,1315802
10-14 anni,Milano,2013,1,1251137
10-14 anni,Napoli,2004,3,1000449
10-14 anni,Napoli,2005,2,997810
10-14 anni,Napoli,2006,2,984242
10-14 anni,Napoli,2007,3,979690
10-14 anni,Napoli,2009,2,968484
10-14 anni,Napoli,2010,2,963300
10-14 anni,Napoli,2012,2,958156
10-14 anni,Napoli,2013,1,960079
10-14 anni,Palermo,2004,4,679730
10-14 anni,Palermo,2005,2,677504
10-14 anni,Palermo,2006,2,670820
10-14 anni,Palermo,2008,1,668686
10-14 anni,Palermo,2011,2,655979
10-14 anni,Roma,2005,4,2547938
10-14 anni,Roma,2006,3,2547677
10-14 anni,Roma,2007,3,2626640
10-14 anni,Roma,2008,2,2626640
10-14 anni,Roma,2009,2,2710932
10-14 anni,Roma,2011,1,2752636
10-14 anni,Torino,2004,2,867857
10-14 anni,Torino,2005,3,885056
10-14 anni,Torino,2006,1,900608
10-14 anni,Torino,2007,1,900588
10-14 anni,Torino,2009,4,910283
10-14 anni,Torino,2013,2,870702
15-17 anni,Bari,2004,10,314166
15-17 anni,Bari,2005,5,321312
15-17 anni,Bari,2006,5,326915
15-17 anni,Bari,2007,3,325983
15-17 anni,Bari,2008,7,325983
15-17 anni,Bari,2009,8,321771
15-17 anni,Bari,2011,2,320312
15-17 anni,Bari,2012,2,319915
15-17 anni,Bari,2013,4,314311
15-17 anni,Firenze,2004,2,367259
15-17 anni,Firenze,2006,1,366901
15-17 anni,Firenze,2007,1,366433
15-17 anni,Firenze,2008,3,366433
15-17 anni,Firenze,2009,1,365873
15-17 anni,Firenze,2010,4,367280
15-17 anni,Firenze,2011,1,370091
15-17 anni,Firenze,2012,4,372075
15-17 anni,Firenze,2013,4,361679
15-17 anni,Milano,2004,10,1271898
15-17 anni,Milano,2005,6,1285669
15-17 anni,Milano,2006,6,1308735
15-17 anni,Milano,2007,2,1306086
15-17 anni,Milano,2008,2,1306086
15-17 anni,Milano,2009,3,1296958
15-17 anni,Milano,2010,1,1301600
15-17 anni,Milano,2011,5,1315802
15-17 anni,Milano,2012,8,1333670
15-17 anni,Milano,2013,1,1251137
15-17 anni,Napoli,2004,13,1000449
15-17 anni,Napoli,2005,9,997810
15-17 anni,Napoli,2006,9,984242
15-17 anni,Napoli,2007,7,979690
15-17 anni,Napoli,2008,11,979690
15-17 anni,Napoli,2009,4,968484
15-17 anni,Napoli,2010,7,963300
15-17 anni,Napoli,2011,5,961257
15-17 anni,Napoli,2012,4,958156
15-17 anni,Napoli,2013,8,960079
15-17 anni,Palermo,2004,9,679730
15-17 anni,Palermo,2005,7,677504
15-17 anni,Palermo,2006,3,670820
15-17 anni,Palermo,2007,6,668686
15-17 anni,Palermo,2008,8,668686
15-17 anni,Palermo,2009,6,661752
15-17 anni,Palermo,2010,1,657757
15-17 anni,Palermo,2011,3,655979
15-17 anni,Palermo,2012,2,654998
15-17 anni,Palermo,2013,1,655908
15-17 anni,Roma,2004,9,2542003
15-17 anni,Roma,2005,16,2547938
15-17 anni,Roma,2006,7,2547677
15-17 anni,Roma,2007,19,2626640
15-17 anni,Roma,2008,9,2626640
15-17 anni,Roma,2009,5,2710932
15-17 anni,Roma,2010,5,2734071
15-17 anni,Roma,2011,7,2752636
15-17 anni,Roma,2012,14,2771584
15-17 anni,Roma,2013,4,2626553
15-17 anni,Torino,2004,1,867857
15-17 anni,Torino,2005,3,885056
15-17 anni,Torino,2006,6,900608
15-17 anni,Torino,2007,3,900588
15-17 anni,Torino,2008,3,900588
15-17 anni,Torino,2009,3,910283
15-17 anni,Torino,2010,4,909181
15-17 anni,Torino,2012,2,906671
15-17 anni,Torino,2013,4,870702
18-20 anni,Bari,2004,14,314166
18-20 anni,Bari,2005,10,321312
18-20 anni,Bari,2006,13,326915
18-20 anni,Bari,2007,11,325983
18-20 anni,Bari,2008,9,325983
18-20 anni,Bari,2009,9,321771
18-20 anni,Bari,2010,3,320413
18-20 anni,Bari,2011,4,320312
18-20 anni,Bari,2012,12,319915
18-20 anni,Bari,2013,6,314311
18-20 anni,Firenze,2004,9,367259
18-20 anni,Firenze,2005,5,367659
18-20 anni,Firenze,2006,4,366901
18-20 anni,Firenze,2008,1,366433
18-20 anni,Firenze,2009,4,365873
18-20 anni,Firenze,2010,2,367280
18-20 anni,Firenze,2011,2,370091
18-20 anni,Firenze,2012,6,372075
18-20 anni,Firenze,2013,1,361679
18-20 anni,Milano,2004,8,1271898
18-20 anni,Milano,2005,6,1285669
