Territorio,Anno,Totale,Popolazione
Bari,2004,10305,314166
Bari,2005,10469,321312
Bari,2006,11117,326915
Bari,2007,9982,325983
Bari,2008,10693,325983
Bari,2009,11096,321771
Bari,2010,8902,320413
Bari,2011,8474,320312
Bari,2012,15116,319915
Bari,2013,7232,314311
Firenze,2004,14516,367259
Firenze,2005,13518,367659
Firenze,2006,13169,366901
Firenze,2007,12996,366433
Firenze,2008,11072,366433
Firenze,2009,10675,365873
Firenze,2010,11185,367280
Firenze,2011,11045,370091
Firenze,2012,19828,372075
Firenze,2013,9652,361679
Milano,2004,53762,1271898
Milano,2005,51555,1285669
Milano,2006,50816,1308735
Milano,2007,48754,1306086
Milano,2008,44569,1306086
Milano,2009,41419,1296958
Milano,2010,33444,1301600
Milano,2011,31657,1315802
Milano,2012,59360,1333670
Milano,2013,26934,1251137
Napoli,2004,9675,1000449
Napoli,2005,11109,997810
Napoli,2006,10568,984242
Napoli,2007,10919,979690
Napoli,2008,11073,979690
Napoli,2009,11237,968484
Napoli,2010,10240,963300
Napoli,2011,9850,961257
Napoli,2012,18000,958156
Napoli,2013,8277,960079
Palermo,2004,6555,679730
Palermo,2005,6627,677504
Palermo,2006,6536,670820
Palermo,2007,6553,668686
Palermo,2008,6538,668686
Palermo,2009,6499,661752
Palermo,2010,6229,657757
Palermo,2011,6411,655979
Palermo,2012,12012,654998
Palermo,2013,6079,655908
Roma,2004,52770,2542003
Roma,2005,51515,2547938
Roma,2006,49544,2547677
Roma,2007,47949,2626640
Roma,2008,43148,2626640
Roma,2009,43825,2710932
Roma,2010,44012,2734071
Roma,2011,43008,2752636
Roma,2012,74768,2771584
Roma,2013,34634,2626553
Torino,2004,14820,867857
Torino,2005,14594,885056
Torino,2006,14913,900608
Torino,2007,15002,900588
Torino,2008,13168,900588
Torino,2009,13078,910283
Torino,2010,13108,909181
Torino,2011,12880,908550
Torino,2012,23670,906671
Torino,2013,11041,870702
