Naturadellincidente,Territorio,Anno,Totale,Popolazione
incidente a veicolo isolato,Bari,2004,733,314166
incidente a veicolo isolato,Bari,2005,675,321312
incidente a veicolo isolato,Bari,2006,818,326915
incidente a veicolo isolato,Bari,2007,716,325983
incidente a veicolo isolato,Bari,2008,719,325983
incidente a veicolo isolato,Bari,2009,830,321771
incidente a veicolo isolato,Bari,2010,668,320413
incidente a veicolo isolato,Bari,2011,631,320312
incidente a veicolo isolato,Bari,2012,1190,319915
incidente a veicolo isolato,Bari,2013,569,314311
incidente a veicolo isolato,Firenze,2004,973,367259
incidente a veicolo isolato,Firenze,2005,874,367659
incidente a veicolo isolato,Firenze,2006,816,366901
incidente a veicolo isolato,Firenze,2007,817,366433
incidente a veicolo isolato,Firenze,2008,750,366433
incidente a veicolo isolato,Firenze,2009,774,365873
incidente a veicolo isolato,Firenze,2010,823,367280
incidente a veicolo isolato,Firenze,2011,769,370091
incidente a veicolo isolato,Firenze,2012,1466,372075
incidente a veicolo isolato,Firenze,2013,675,361679
incidente a veicolo isolato,Milano,2004,4317,1271898
incidente a veicolo isolato,Milano,2005,4005,1285669
incidente a veicolo isolato,Milano,2006,3736,1308735
incidente a veicolo isolato,Milano,2007,3599,1306086
incidente a veicolo isolato,Milano,2008,3583,1306086
incidente a veicolo isolato,Milano,2009,3758,1296958
incidente a veicolo isolato,Milano,2010,3249,1301600
incidente a veicolo isolato,Milano,2011,2816,1315802
incidente a veicolo isolato,Milano,2012,5540,1333670
incidente a veicolo isolato,Milano,2013,2635,1251137
incidente a veicolo isolato,Napoli,2004,869,1000449
incidente a veicolo isolato,Napoli,2005,1075,997810
incidente a veicolo isolato,Napoli,2006,1019,984242
incidente a veicolo isolato,Napoli,2007,1053,979690
incidente a veicolo isolato,Napoli,2008,1116,979690
incidente a veicolo isolato,Napoli,2009,1174,968484
incidente a veicolo isolato,Napoli,2010,1102,963300
incidente a veicolo isolato,Napoli,2011,952,961257
incidente a veicolo isolato,Napoli,2012,1790,958156
incidente a veicolo isolato,Napoli,2013,882,960079
incidente a veicolo isolato,Palermo,2004,449,679730
incidente a veicolo isolato,Palermo,2005,508,677504
incidente a veicolo isolato,Palermo,2006,505,670820
incidente a veicolo isolato,Palermo,2007,528,668686
incidente a veicolo isolato,Palermo,2008,579,668686
incidente a veicolo isolato,Palermo,2009,565,661752
incidente a veicolo isolato,Palermo,2010,499,657757
incidente a veicolo isolato,Palermo,2011,535,655979
incidente a veicolo isolato,Palermo,2012,1058,654998
incidente a veicolo isolato,Palermo,2013,519,655908
incidente a veicolo isolato,Roma,2004,3643,2542003
incidente a veicolo isolato,Roma,2005,3311,2547938
incidente a veicolo isolato,Roma,2006,3888,2547677
incidente a veicolo isolato,Roma,2007,3122,2626640
incidente a veicolo isolato,Roma,2008,2865,2626640
incidente a veicolo isolato,Roma,2009,3305,2710932
incidente a veicolo isolato,Roma,2010,3071,2734071
