Categoriadeiveicoli,Territorio,Anno,Totale,Popolazione
altri veicoli,Bari,2004,190,314166
altri veicoli,Bari,2005,190,321312
altri veicoli,Bari,2006,203,326915
altri veicoli,Bari,2007,147,325983
altri veicoli,Bari,2008,127,325983
altri veicoli,Bari,2009,157,321771
altri veicoli,Bari,2010,160,320413
altri veicoli,Bari,2011,208,320312
altri veicoli,Bari,2012,332,319915
altri veicoli,Bari,2013,129,314311
altri veicoli,Firenze,2004,311,367259
altri veicoli,Firenze,2005,260,367659
altri veicoli,Firenze,2006,101,366901
altri veicoli,Firenze,2007,94,366433
altri veicoli,Firenze,2008,79,366433
altri veicoli,Firenze,2009,108,365873
altri veicoli,Firenze,2010,201,367280
altri veicoli,Firenze,2011,573,370091
altri veicoli,Firenze,2012,524,372075
altri veicoli,Firenze,2013,284,361679
altri veicoli,Milano,2004,1380,1271898
altri veicoli,Milano,2005,1283,1285669
altri veicoli,Milano,2006,1152,1308735
altri veicoli,Milano,2007,1129,1306086
altri veicoli,Milano,2008,806,1306086
altri veicoli,Milano,2009,934,1296958
altri veicoli,Milano,2010,740,1301600
altri veicoli,Milano,2011,918,1315802
altri veicoli,Milano,2012,1768,1333670
altri veicoli,Milano,2013,894,1251137
altri veicoli,Napoli,2004,182,1000449
altri veicoli,Napoli,2005,202,997810
altri veicoli,Napoli,2006,146,984242
altri veicoli,Napoli,2007,149,979690
altri veicoli,Napoli,2008,134,979690
altri veicoli,Napoli,2009,160,968484
altri veicoli,Napoli,2010,152,963300
altri veicoli,Napoli,2011,237,961257
altri veicoli,Napoli,2012,382,958156
altri veicoli,Napoli,2013,237,960079
altri veicoli,Palermo,2004,66,679730
altri veicoli,Palermo,2005,27,677504
altri veicoli,Palermo,2006,37,670820
altri veicoli,Palermo,2007,32,668686
altri veicoli,Palermo,2008,56,668686
altri veicoli,Palermo,2009,46,661752
altri veicoli,Palermo,2010,35,657757
altri veicoli,Palermo,2011,87,655979
altri veicoli,Palermo,2012,148,654998
altri veicoli,Palermo,2013,103,655908
altri veicoli,Roma,2004,1093,2542003
altri veicoli,Roma,2005,1105,2547938
altri veicoli,Roma,2006,1016,2547677
altri veicoli,Roma,2007,1092,2626640
altri veicoli,Roma,2008,643,2626640
altri veicoli,Roma,2009,526,2710932
altri veicoli,Roma,2010,830,2734071
altri veicoli,Roma,2011,1167,2752636
altri veicoli,Roma,2012,1978,2771584
altri veicoli,Roma,2013,1023,2626553
altri veicoli,Torino,2004,369,867857
altri veicoli,Torino,2005,440,885056
altri veicoli,Torino,2006,365,900608
altri veicoli,Torino,2007,431,900588
altri veicoli,Torino,2008,372,900588
altri veicoli,Torino,2009,200,910283
altri veicoli,Torino,2010,381,909181
altri veicoli,Torino,2011,407,908550
altri veicoli,Torino,2012,784,906671
altri veicoli,Torino,2013,348,870702
autobus e filobus,Bari,2004,75,314166
autobus e filobus,Bari,2005,118,321312
autobus e filobus,Bari,2006,133,326915
autobus e filobus,Bari,2007,81,325983
autobus e filobus,Bari,2008,78,325983
autobus e filobus,Bari,2009,56,321771
autobus e filobus,Bari,2010,50,320413
autobus e filobus,Bari,2011,44,320312
autobus e filobus,Bari,2012,104,319915
autobus e filobus,Bari,2013,57,314311
autobus e filobus,Firenze,2004,160,367259
autobus e filobus,Firenze,2005,131,367659
autobus e filobus,Firenze,2006,141,366901
autobus e filobus,Firenze,2007,119,366433
autobus e filobus,Firenze,2008,100,366433
autobus e filobus,Firenze,2009,98,365873
autobus e filobus,Firenze,2010,120,367280
autobus e filobus,Firenze,2011,85,370091
autobus e filobus,Firenze,2012,218,372075
autobus e filobus,Firenze,2013,100,361679
autobus e filobus,Milano,2004,394,1271898
autobus e filobus,Milano,2005,360,1285669
autobus e filobus,Milano,2006,328,1308735
autobus e filobus,Milano,2007,353,1306086
autobus e filobus,Milano,2008,350,1306086
autobus e filobus,Milano,2009,314,1296958
autobus e filobus,Milano,2010,277,1301600
autobus e filobus,Milano,2011,214,1315802
autobus e filobus,Milano,2012,446,1333670
autobus e filobus,Milano,2013,160,1251137
autobus e filobus,Napoli,2004,126,1000449
autobus e filobus,Napoli,2005,101,997810
autobus e filobus,Napoli,2006,143,984242
autobus e filobus,Napoli,2007,105,979690
autobus e filobus,Napoli,2008,92,979690
autobus e filobus,Napoli,2009,92,968484
autobus e filobus,Napoli,2010,99,963300
autobus e filobus,Napoli,2011,86,961257
autobus e filobus,Napoli,2012,136,958156
autobus e filobus,Napoli,2013,61,960079
autobus e filobus,Palermo,2004,56,679730
autobus e filobus,Palermo,2005,69,677504
autobus e filobus,Palermo,2006,60,670820
autobus e filobus,Palermo,2007,53,668686
autobus e filobus,Palermo,2008,63,668686
autobus e filobus,Palermo,2009,51,661752
autobus e filobus,Palermo,2010,51,657757
autobus e filobus,Palermo,2011,35,655979
autobus e filobus,Palermo,2012,74,654998
autobus e filobus,Palermo,2013,40,655908
autobus e filobus,Roma,2004,1180,2542003
autobus e filobus,Roma,2005,625,2547938
autobus e filobus,Roma,2006,1146,2547677
autobus e filobus,Roma,2007,505,2626640
autobus e filobus,Roma,2008,463,2626640
autobus e filobus,Roma,2009,415,2710932
autobus e filobus,Roma,2010,445,2734071
autobus e filobus,Roma,2011,453,2752636
autobus e filobus,Roma,2012,864,2771584
autobus e filobus,Roma,2013,355,2626553
autobus e filobus,Torino,2004,205,867857
autobus e filobus,Torino,2005,192,885056
autobus e filobus,Torino,2006,178,900608
autobus e filobus,Torino,2007,192,900588
autobus e filobus,Torino,2008,218,900588
autobus e filobus,Torino,2009,171,910283
autobus e filobus,Torino,2010,221,909181
autobus e filobus,Torino,2011,191,908550
autobus e filobus,Torino,2012,366,906671
autobus e filobus,Torino,2013,162,870702
autocarri e motrici,Bari,2004,517,314166
autocarri e motrici,Bari,2005,554,321312
autocarri e motrici,Bari,2006,518,326915
autocarri e motrici,Bari,2007,462,325983
autocarri e motrici,Bari,2008,520,325983
autocarri e motrici,Bari,2009,570,321771
autocarri e motrici,Bari,2010,433,320413
autocarri e motrici,Bari,2011,400,320312
autocarri e motrici,Bari,2012,742,319915
autocarri e motrici,Bari,2013,352,314311
autocarri e motrici,Firenze,2004,776,367259
autocarri e motrici,Firenze,2005,812,367659
autocarri e motrici,Firenze,2006,744,366901
autocarri e motrici,Firenze,2007,809,366433
autocarri e motrici,Firenze,2008,745,366433
autocarri e motrici,Firenze,2009,650,365873
autocarri e motrici,Firenze,2010,767,367280
autocarri e motrici,Firenze,2011,674,370091
autocarri e motrici,Firenze,2012,1132,372075
autocarri e motrici,Firenze,2013,529,361679
autocarri e motrici,Milano,2004,3853,1271898
autocarri e motrici,Milano,2005,3763,1285669
autocarri e motrici,Milano,2006,3779,1308735
autocarri e motrici,Milano,2007,3687,1306086
autocarri e motrici,Milano,2008,3291,1306086
autocarri e motrici,Milano,2009,2860,1296958
autocarri e motrici,Milano,2010,2354,1301600
autocarri e motrici,Milano,2011,2169,1315802
autocarri e motrici,Milano,2012,3908,1333670
autocarri e motrici,Milano,2013,1810,1251137
autocarri e motrici,Napoli,2004,392,1000449
autocarri e motrici,Napoli,2005,522,997810
autocarri e motrici,Napoli,2006,423,984242
autocarri e motrici,Napoli,2007,371,979690
autocarri e motrici,Napoli,2008,366,979690
autocarri e motrici,Napoli,2009,340,968484
autocarri e motrici,Napoli,2010,336,963300
autocarri e motrici,Napoli,2011,314,961257
autocarri e motrici,Napoli,2012,612,958156
autocarri e motrici,Napoli,2013,290,960079
autocarri e motrici,Palermo,2004,263,679730
