Localizzazionedellincidente,Territorio,Anno,Totale,Popolazione
altra strada,Bari,2004,2291,314166
altra strada,Bari,2005,2343,321312
altra strada,Bari,2006,2561,326915
altra strada,Bari,2007,2183,325983
altra strada,Bari,2008,2325,325983
altra strada,Bari,2009,2530,321771
altra strada,Bari,2010,2249,320413
altra strada,Bari,2011,2262,320312
altra strada,Bari,2012,4068,319915
altra strada,Bari,2013,1962,314311
altra strada,Firenze,2004,1147,367259
altra strada,Firenze,2005,1005,367659
altra strada,Firenze,2006,1156,366901
altra strada,Firenze,2007,1077,366433
altra strada,Firenze,2008,1112,366433
altra strada,Firenze,2009,1011,365873
altra strada,Firenze,2010,1205,367280
altra strada,Firenze,2011,1332,370091
altra strada,Firenze,2012,2368,372075
altra strada,Firenze,2013,1244,361679
altra strada,Milano,2004,3246,1271898
altra strada,Milano,2005,3234,1285669
altra strada,Milano,2006,3319,1308735
altra strada,Milano,2007,3030,1306086
altra strada,Milano,2008,2991,1306086
altra strada,Milano,2009,2915,1296958
altra strada,Milano,2010,1856,1301600
altra strada,Milano,2011,1813,1315802
altra strada,Milano,2012,3226,1333670
altra strada,Milano,2013,1904,1251137
altra strada,Napoli,2004,887,1000449
altra strada,Napoli,2005,937,997810
altra strada,Napoli,2006,1075,984242
altra strada,Napoli,2007,933,979690
altra strada,Napoli,2008,1151,979690
altra strada,Napoli,2009,1263,968484
altra strada,Napoli,2010,976,963300
altra strada,Napoli,2011,887,961257
altra strada,Napoli,2012,1734,958156
altra strada,Napoli,2013,914,960079
altra strada,Palermo,2004,541,679730
altra strada,Palermo,2005,531,677504
altra strada,Palermo,2006,525,670820
altra strada,Palermo,2007,544,668686
altra strada,Palermo,2008,556,668686
altra strada,Palermo,2009,583,661752
altra strada,Palermo,2010,532,657757
altra strada,Palermo,2011,614,655979
altra strada,Palermo,2012,1020,654998
altra strada,Palermo,2013,560,655908
altra strada,Roma,2004,4207,2542003
altra strada,Roma,2005,3748,2547938
altra strada,Roma,2006,4195,2547677
altra strada,Roma,2007,4210,2626640
altra strada,Roma,2008,3925,2626640
altra strada,Roma,2009,4230,2710932
altra strada,Roma,2010,4068,2734071
altra strada,Roma,2011,4211,2752636
altra strada,Roma,2012,8688,2771584
altra strada,Roma,2013,3817,2626553
altra strada,Torino,2004,1269,867857
altra strada,Torino,2005,1264,885056
altra strada,Torino,2006,1282,900608
altra strada,Torino,2007,1128,900588
altra strada,Torino,2008,955,900588
altra strada,Torino,2009,1569,910283
altra strada,Torino,2010,1527,909181
altra strada,Torino,2011,1386,908550
altra strada,Torino,2012,2748,906671
altra strada,Torino,2013,1203,870702
autostrada,Bari,2004,96,314166
autostrada,Bari,2005,105,321312
autostrada,Bari,2006,201,326915
autostrada,Bari,2007,103,325983
autostrada,Bari,2008,95,325983
autostrada,Bari,2009,116,321771
autostrada,Bari,2010,37,320413
autostrada,Bari,2011,82,320312
autostrada,Bari,2012,108,319915
autostrada,Bari,2013,25,314311
autostrada,Firenze,2004,1155,367259
autostrada,Firenze,2005,1034,367659
autostrada,Firenze,2006,1004,366901
autostrada,Firenze,2007,1043,366433
autostrada,Firenze,2008,838,366433
autostrada,Firenze,2009,888,365873
autostrada,Firenze,2010,967,367280
autostrada,Firenze,2011,833,370091
autostrada,Firenze,2012,1234,372075
autostrada,Firenze,2013,616,361679
autostrada,Milano,2004,2607,1271898
autostrada,Milano,2005,2700,1285669
autostrada,Milano,2006,2526,1308735
autostrada,Milano,2007,2548,1306086
autostrada,Milano,2008,2417,1306086
autostrada,Milano,2009,2128,1296958
autostrada,Milano,2010,2015,1301600
autostrada,Milano,2011,1893,1315802
autostrada,Milano,2012,3650,1333670
autostrada,Milano,2013,1579,1251137
autostrada,Napoli,2004,1157,1000449
autostrada,Napoli,2005,1331,997810
autostrada,Napoli,2006,1327,984242
autostrada,Napoli,2007,1197,979690
autostrada,Napoli,2008,1128,979690
autostrada,Napoli,2009,878,968484
autostrada,Napoli,2010,833,963300
autostrada,Napoli,2011,859,961257
autostrada,Napoli,2012,1324,958156
autostrada,Napoli,2013,644,960079
autostrada,Palermo,2004,563,679730
autostrada,Palermo,2005,605,677504
autostrada,Palermo,2006,484,670820
autostrada,Palermo,2007,471,668686
autostrada,Palermo,2008,520,668686
autostrada,Palermo,2009,610,661752
autostrada,Palermo,2010,493,657757
autostrada,Palermo,2011,589,655979
autostrada,Palermo,2012,908,654998
autostrada,Palermo,2013,439,655908
autostrada,Roma,2004,2471,2542003
autostrada,Roma,2005,2622,2547938
autostrada,Roma,2006,2990,2547677
autostrada,Roma,2007,3060,2626640
autostrada,Roma,2008,3118,2626640
autostrada,Roma,2009,3421,2710932
autostrada,Roma,2010,3422,2734071
autostrada,Roma,2011,3119,2752636
autostrada,Roma,2012,4994,2771584
autostrada,Roma,2013,2363,2626553
autostrada,Torino,2004,1252,867857
autostrada,Torino,2005,1072,885056
autostrada,Torino,2006,1058,900608
autostrada,Torino,2007,1105,900588
autostrada,Torino,2008,978,900588
autostrada,Torino,2009,1010,910283
autostrada,Torino,2010,1027,909181
autostrada,Torino,2011,999,908550
autostrada,Torino,2012,1826,906671
