Territorio,Anno,Totale,Popolazione
Bari,2004,156,314166
Bari,2005,134,321312
Bari,2006,154,326915
Bari,2007,107,325983
Bari,2008,114,325983
Bari,2009,97,321771
Bari,2010,50,320413
Bari,2011,66,320312
Bari,2012,120,319915
Bari,2013,71,314311
Firenze,2004,93,367259
Firenze,2005,85,367659
Firenze,2006,71,366901
Firenze,2007,64,366433
Firenze,2008,57,366433
Firenze,2009,66,365873
Firenze,2010,77,367280
Firenze,2011,59,370091
Firenze,2012,110,372075
Firenze,2013,50,361679
Milano,2004,244,1271898
Milano,2005,224,1285669
Milano,2006,255,1308735
Milano,2007,226,1306086
Milano,2008,187,1306086
Milano,2009,159,1296958
Milano,2010,131,1301600
Milano,2011,104,1315802
Milano,2012,260,1333670
Milano,2013,107,1251137
Napoli,2004,149,1000449
Napoli,2005,129,997810
Napoli,2006,131,984242
Napoli,2007,103,979690
Napoli,2008,126,979690
Napoli,2009,130,968484
Napoli,2010,96,963300
Napoli,2011,105,961257
Napoli,2012,204,958156
Napoli,2013,98,960079
Palermo,2004,87,679730
Palermo,2005,71,677504
Palermo,2006,74,670820
Palermo,2007,82,668686
Palermo,2008,73,668686
Palermo,2009,80,661752
Palermo,2010,69,657757
Palermo,2011,70,655979
Palermo,2012,70,654998
Palermo,2013,53,655908
Roma,2004,416,2542003
Roma,2005,358,2547938
Roma,2006,356,2547677
Roma,2007,338,2626640
Roma,2008,309,2626640
Roma,2009,308,2710932
Roma,2010,289,2734071
Roma,2011,260,2752636
Roma,2012,456,2771584
Roma,2013,229,2626553
Torino,2004,181,867857
Torino,2005,166,885056
Torino,2006,140,900608
Torino,2007,151,900588
Torino,2008,112,900588
Torino,2009,126,910283
Torino,2010,126,909181
Torino,2011,119,908550
Torino,2012,248,906671
Torino,2013,122,870702
