Territorio,Sesso,Anno,Totale,Popolazione
Bari,femmine,2004,31,314166
Bari,femmine,2005,18,321312
Bari,femmine,2006,20,326915
Bari,femmine,2007,20,325983
Bari,femmine,2008,25,325983
Bari,femmine,2009,26,321771
Bari,femmine,2010,4,320413
Bari,femmine,2011,12,320312
Bari,femmine,2012,6,319915
Bari,femmine,2013,12,314311
Bari,maschi,2004,125,314166
Bari,maschi,2005,116,321312
Bari,maschi,2006,134,326915
Bari,maschi,2007,87,325983
Bari,maschi,2008,89,325983
Bari,maschi,2009,71,321771
Bari,maschi,2010,46,320413
Bari,maschi,2011,54,320312
Bari,maschi,2012,114,319915
Bari,maschi,2013,59,314311
Firenze,femmine,2004,13,367259
Firenze,femmine,2005,20,367659
Firenze,femmine,2006,16,366901
Firenze,femmine,2007,13,366433
Firenze,femmine,2008,9,366433
Firenze,femmine,2009,17,365873
Firenze,femmine,2010,12,367280
Firenze,femmine,2011,15,370091
Firenze,femmine,2012,20,372075
Firenze,femmine,2013,13,361679
Firenze,maschi,2004,80,367259
Firenze,maschi,2005,65,367659
Firenze,maschi,2006,55,366901
Firenze,maschi,2007,51,366433
Firenze,maschi,2008,48,366433
Firenze,maschi,2009,49,365873
Firenze,maschi,2010,65,367280
Firenze,maschi,2011,44,370091
Firenze,maschi,2012,90,372075
Firenze,maschi,2013,37,361679
Milano,femmine,2004,44,1271898
Milano,femmine,2005,36,1285669
Milano,femmine,2006,46,1308735
Milano,femmine,2007,38,1306086
Milano,femmine,2008,40,1306086
Milano,femmine,2009,44,1296958
Milano,femmine,2010,26,1301600
Milano,femmine,2011,27,1315802
Milano,femmine,2012,34,1333670
Milano,femmine,2013,22,1251137
Milano,maschi,2004,200,1271898
Milano,maschi,2005,188,1285669
Milano,maschi,2006,209,1308735
Milano,maschi,2007,188,1306086
Milano,maschi,2008,147,1306086
Milano,maschi,2009,115,1296958
Milano,maschi,2010,105,1301600
Milano,maschi,2011,77,1315802
Milano,maschi,2012,226,1333670
Milano,maschi,2013,85,1251137
Napoli,femmine,2004,28,1000449
Napoli,femmine,2005,22,997810
Napoli,femmine,2006,28,984242
Napoli,femmine,2007,14,979690
Napoli,femmine,2008,18,979690
Napoli,femmine,2009,25,968484
Napoli,femmine,2010,21,963300
Napoli,femmine,2011,15,961257
Napoli,femmine,2012,32,958156
Napoli,femmine,2013,21,960079
Napoli,maschi,2004,121,1000449
Napoli,maschi,2005,107,997810
Napoli,maschi,2006,103,984242
Napoli,maschi,2007,89,979690
Napoli,maschi,2008,108,979690
Napoli,maschi,2009,105,968484
Napoli,maschi,2010,75,963300
Napoli,maschi,2011,90,961257
Napoli,maschi,2012,172,958156
Napoli,maschi,2013,77,960079
Palermo,femmine,2004,15,679730
Palermo,femmine,2005,17,677504
Palermo,femmine,2006,10,670820
Palermo,femmine,2007,16,668686
Palermo,femmine,2008,7,668686
Palermo,femmine,2009,18,661752
Palermo,femmine,2010,12,657757
Palermo,femmine,2011,18,655979
Palermo,femmine,2012,12,654998
Palermo,femmine,2013,13,655908
Palermo,maschi,2004,72,679730
Palermo,maschi,2005,54,677504
Palermo,maschi,2006,64,670820
Palermo,maschi,2007,66,668686
Palermo,maschi,2008,66,668686
Palermo,maschi,2009,62,661752
Palermo,maschi,2010,57,657757
Palermo,maschi,2011,52,655979
Palermo,maschi,2012,58,654998
Palermo,maschi,2013,40,655908
Roma,femmine,2004,78,2542003
Roma,femmine,2005,79,2547938
Roma,femmine,2006,65,2547677
Roma,femmine,2007,73,2626640
Roma,femmine,2008,60,2626640
Roma,femmine,2009,57,2710932
Roma,femmine,2010,49,2734071
Roma,femmine,2011,63,2752636
Roma,femmine,2012,96,2771584
Roma,femmine,2013,43,2626553
Roma,maschi,2004,338,2542003
Roma,maschi,2005,279,2547938
Roma,maschi,2006,291,2547677
Roma,maschi,2007,265,2626640
Roma,maschi,2008,249,2626640
Roma,maschi,2009,251,2710932
Roma,maschi,2010,240,2734071
Roma,maschi,2011,197,2752636
Roma,maschi,2012,360,2771584
Roma,maschi,2013,186,2626553
Torino,femmine,2004,46,867857
Torino,femmine,2005,37,885056
Torino,femmine,2006,31,900608
Torino,femmine,2007,30,900588
Torino,femmine,2008,12,900588
Torino,femmine,2009,34,910283
Torino,femmine,2010,26,909181
Torino,femmine,2011,26,908550
Torino,femmine,2012,34,906671
Torino,femmine,2013,27,870702
Torino,maschi,2004,135,867857
Torino,maschi,2005,129,885056
Torino,maschi,2006,109,900608
Torino,maschi,2007,121,900588
Torino,maschi,2008,100,900588
Torino,maschi,2009,92,910283
Torino,maschi,2010,100,909181
Torino,maschi,2011,93,908550
Torino,maschi,2012,214,906671
Torino,maschi,2013,95,870702
